359,MRIGAL,1.4
381,"SHRIMP, fresh",9.0
399,BUFFALO meat,1.7
402,"EGG, hen, whole",1.8
402a,"EGG, white (hen)",0.2
402b,"EGG, yolk (hen)",4.4
406,"GOAT, meat",2.8
408,"LIVER, goat",90.4 
555,"LIVER, sheep",91.9
556,MUTTON,2.6
567,"MILK, buffalo",0.14
568,"MILK, cow",0.14
569,"MILK, goat",0.05
570,"MILK, human",0.02
572,"CURD, buffalo milk",0.10
572a,"CURD, cow milk",0.13
582,SKIM MILK POWDER,0.83 
